,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
3716,France,     Guinea,1,Hiller-12/OH-23 Raven,Light helicopter,1963,1963,1,Supplier uncertain
3723,France,     Guinea-Bissau,1,Cessna-337/O-2,Light aircraft,1978,1978,1,For MP; FTB-337E version
3725,France,     Guyana,2,SA-316B Alouette-3,Light helicopter,1973,1974,2,SA-319B version
3726,France,     Hungary,180,Mistral,Portable SAM,1997,1998-1999,180,Part of $100 m deal; deal incl 45 ATLAS launchers
3729,France,     India,33,MD-450 Ouragan,FGA aircraft,1953,1954,33,Second-hand (but maximum only used 1-2 years by France); Indian designation Toofani
3762,France,     Indonesia,175,AMX-13/75,Light tank,1960,1961-1963,175,
3817,France,     Iran,2000,ENTAC,Anti-tank missile,1966,1966-1969,2000,
3824,France,     Iraq,75,AML-60/90,Armoured car,1967,1967-1968,75,'Iraq-1' deal; AML-60 and AML-90 version
3876,France,     Ireland,71,AM-50 120mm,Mortar,1952,1953,71,
3895,France,     Israel,100,M-3/M-5 Half-track,APC,1949,1950-1951,100,Second-hand
3935,France,     Italy,400,SS-11,Anti-tank missile,1958,1959,400,
3952,France,     Jamaica,4,AS-355/AS-555 Fennec,Light helicopter,1998,1999,4,As-355N version
3953,France,     Japan,500,SS-10,Anti-tank missile,1958,1960,500,
3958,France,     Jordan,16,SA-316B Alouette-3,Light helicopter,1964,1965-1967,16,
3969,France,     Katanga,3,CM-170 Magister,Trainer aircraft,1960,1961,3,"Originally 9 ordered, but only 3 to 6 delivered"
3970,France,     Kazakhstan,1,Ground Master-400,Air search radar,2013,2014,1,
3971,France,     Kenya,3,SA-313B Alouette-2,Light helicopter,1965,1967,3,SA-318C version
3980,France,     Kuwait,10,AMX-Mk-F3 155mm,Self-propelled gun,1967,1968,10,
4015,France,     Laos,15,M-3A1 Scout Car,APC/APV,1953,1954,15,Second-hand; aid
4022,France,     Lebanon,42,AMX-13/75,Light tank,1955,1957,42,
4060,France,     Lesotho,1,AS-350/AS-550 Fennec,Light helicopter,2016,2017,1,H-125 version
4063,France,     Libya,3,SA-313B Alouette-2,Light helicopter,1961,1962,3,
4088,France,     Lithuania,3,AS365/AS565 Panther,Helicopter,2013,2015,3,LTL180 m ($72 m) deal (partly financed by EU); AS365N3+ version; mainly for SAR
4089,France,     Macedonia,20,RATAC,Ground surv radar,1998,1999,20,Second-hand Army; aid; designation uncertain
4091,France,     Madagascar,1,Bell-47/OH-13,Light helicopter,1960,1961,1,Second-hand; Bell-47G version
4112,France,     Malawi,3,SA-330 Puma,Helicopter,1977,1977-1979,3,
4116,France,     Malaysia,13,SA-316B Alouette-3,Light helicopter,1963,1963-1964,13,
4149,France,     Mali,2,DC-3/C-47 Skytrain,Transport aircraft,1961,1961,2,Second-hand; aid
4159,France,     Mauritania,1,DC-3/C-47 Skytrain,Transport aircraft,1960,1960,1,Second-hand; aid
4176,France,     Mauritius,11,VAB-VTT,APC,1979,1979,11,Incl 2 VAB-ECH ARV version; 6-wheeled version
4178,France,     Mexico,9,SA-316B Alouette-3,Light helicopter,1963,1965,9,
4202,France,     Morocco,17,AMX-13/75,Light tank,1954,1956,17,
4293,France,     Myanmar,1,DC-3/C-47 Skytrain,Transport aircraft,1955,1955,1,Second-hand
4297,France,     Nepal,4,SA-316B Alouette-3,Light helicopter,1971,1971,4,
4302,France,     Netherlands,500,SS-10,Anti-tank missile,1956,1956-1958,500,
4328,France,     New Zealand,2,TSM-2633 Spherion-B,ASW sonar,1989,1997-1999,2,For 2 MEKO-200 (Anzac) frigates from FRG; Spherion-B Mod-5 version
4331,France,     Nicaragua,2,SA-316B Alouette-3,Light helicopter,1981,1982,2,$16 m deal incl 2 small patrol craft
4332,France,     Niger,8,M-20,Reconnaissance AV,1958,1960,8,Second-hand
4353,France,     Nigeria,1,DC-4/C-54,Transport aircraft,1965,1965,1,Second-hand Navy
4378,France,     Norway,600,SS-10,Anti-tank missile,1956,1957-1959,600,
4391,France,     Oman,4,MM-38 Exocet,Anti-ship missile,1976,1978,4,For Al Mansur FAC
4418,France,     Pakistan,225,AM-50 120mm,Mortar,1965,1966-1970,225,
4467,France,     Peru,30,AMX-13/75,Light tank,1955,1956,30,
4502,France,     Philippines,12,M-101/30,Towed gun,1996,1997,12,Philippine M-101 rebuilt to M-101/30
4505,France,     Poland,150,MU90 IMPACT,ASW torpedo,2002,2007-2012,150,EUR30 m deal; incl for Mi-14PL and SH-2G helicopters and Perry (Pulaski) frigate
4507,France,     Portugal,7,SA-313B Alouette-2,Light helicopter,1956,1957,7,
4532,France,     Qatar,30,AMX-10P,IFV,1975,1977-1978,30,Incl some AMX-10PC CP version
4590,France,     Romania,500,Saviem-798,Diesel engine,1979,1980-1990,500,For some 500 TABC-79 APC produced in Romania; Saviem-798 05N2 version
4594,France,     Russia,3,AS-350/AS-550 Fennec,Light helicopter,2012,2013,3,AS-350B version; probably for evaluation
4596,France,     Rwanda,15,AML-60/90,Armoured car,1960,1962,15,AML-60-7 and AML-90 version
4608,France,     Saudi Arabia,6,SA-316B Alouette-3,Light helicopter,1964,1966-1967,6,
4688,France,     Senegal,2,Bell-47/OH-13,Light helicopter,1960,1961,2,Second-hand; aid
4741,France,     Serbia,50,Mistral,Portable SAM,2019,,,Mistral M3 version; incl for PASARS-16 SPAAG
4742,France,     Seychelles,1,Cinq Juin,Landing ship,1977,1979,1,Mainly for use as civilian transport ship
4744,France,     Sierra Leone,2,AS-355/AS-555 Fennec,Light helicopter,1984,1984,2,
4745,France,     Singapore,4,SA-316B Alouette-3,Light helicopter,1968,1969,4,Incl for SAR
4772,France,     Slovenia,2,AS-532 Cougar/AS-332,Transport helicopter,2001,2003,2,$24 m deal; AS-532AL armed version; incl for SAR
4775,France,     Somalia,13,Bastion,APC/APV,2015,2016,13,Financed by USA
4776,France,     South Africa,7,SA-313B Alouette-2,Light helicopter,1960,1960-1962,7,
4812,France,     South Korea,8,MM-38 Exocet,Anti-ship missile,1971,1972,8,For Wildcat Class FAC
4828,France,     South Vietnam,40,Fi-156 Storch,Light aircraft,1951,1953-1955,40,Used since 1951 by 'Vietnam Armed Forces' and transferred upon independence; MS-500 Criquet version
4842,France,     Spain,18,Steam turbine,Steam engine,1945,1953-1965,18,For 9 Audaz destroyers or frigates produced in Spain
4877,France,     Sri Lanka,2,AS365/AS565 Panther,Helicopter,1977,1978,2,AS-365 version
4880,France,     Sudan,6,AML-60/90,Armoured car,1980,1981,6,
4886,France,     Suriname,1,FPB-98,Patrol craft,2012,2013,1,Part of 17 m deal (incl 2 FPB-72 patrol craft); for police
4887,France,     Sweden,16,Palmier,Air search radar,1953,1953-1955,16,Assembled in Sweden; Swedish designation PS-17
4900,France,     Switzerland,200,AMX-13/75,Light tank,1951,1955-1956,200,Swiss designation Pz-51
4913,France,     Syria,7,Ju-52/3m,Transport aircraft,1949,1950,7,Second-hand
4920,France,     Taiwan,6,ATAS,ASW sonar,1990,1995-2004,6,For 6 Perry (Cheng Kung) frigates from USA
4928,France,     Tanzania,8,AS-350/AS-550 Fennec,Light helicopter,2017,2018,3,H125 version
4931,France,     Thailand,38,F8F Bearcat,Fighter aircraft,1954,1954,38,Second-hand
4952,France,     Togo,6,M-8 Greyhound,Armoured car,1958,1960,6,Second-hand
4982,France,     Trinidad and Tobago,2,SA-341 Gazelle,Light helicopter,1973,1973,2,SA-341G version
4983,France,     Tunisia,15,EBR-75,Armoured car,1956,1957,15,
5022,France,     Turkey,18,AS-12,ASM/anti-ship missile,1969,1972-1973,18,For AB-204AS helicopters
5037,France,     Turkmenistan,28,Mistral,Portable SAM,2012,2013-2017,28,For Simbad RC SAM on P-1200 OPV
5038,France,     UAE,5,SA-316B Alouette-3,Light helicopter,1971,1972,5,For Abu Dhabi
5110,France,     Uganda,31,Bastion,APC/APV,2015,2017,31,Incl at least 17 to 19 financed by USA; incl for use with AMISOM in Somalia
5111,France,     Ukraine,12,EC725 Super Cougar,Transport helicopter,2018,2018-2019,3,Second-hand; part of EUR555 m deal; H-125 version; delivery planned 2019-2020
5112,France,     UNITA (Angola)*,150,MILAN,Anti-tank missile,1986,1986-1987,150,Aid
5113,France,     United Kingdom,2,Comet-1A,Transport aircraft,1957,1957,2,Second-hand
5124,France,     United Nations**,1,SA-313B Alouette-2,Light helicopter,1960,1960,1,Aid for UNOC operations in Congo; supplier uncertain
5125,France,     United States,5000,SS-10,Anti-tank missile,1959,1960-1961,5000,"Incl for use on helicopters, US designation MGM-21A"
5132,France,     Unknown recipient(s),15000,ENTAC,Anti-tank missile,1958,1959-1974,15000,
5133,France,     Uruguay,3,Vigilante,Patrol craft,1979,1981,3,Uruguayan designation 15de Noviembre
5140,France,     Uzbekistan,8,AS-350/AS-550 Fennec,Light helicopter,2013,2014-2016,8,AS-350B3 version
5143,France,     Venezuela,1,Dos De,OPV,1953,1954,1,
5175,France,     Viet Nam,2,EC725 Super Cougar,Transport helicopter,2009,2011,2,EC-225LP version; for SAR
5176,France,     Yemen,15,AML-60/90,Armoured car,1998,1998-1999,15,Probably second-hand
5177,France,     Yugoslavia,3,Sirius,Minesweeper,1957,1957,3,Financed by US 'Offshore Procurement Programme' aid; Yugoslav designation Hrabi
5179,France,     Zimbabwe,3,SA-316B Alouette-3,Light helicopter,1961,1962-1963,3,
5188,Gabon, Benin,1,DC-3/C-47 Skytrain,Transport aircraft,1973,1973,1,Ex-Gabonese
5191,Georgia, Azerbaijan,6,Su-25,Ground attack ac,1996,2002,6,
5192,Georgia,     DR Congo,10,Su-25,Ground attack ac,1999,1999-2000,10,Possibly ex-Georgian
5193,Georgia,     Gambia,1,Su-25,Ground attack ac,2001,2004,1,Ex-Georgian
5194,Georgia,     Saudi Arabia,100,Didgori,APV,2015,2016-2017,100,Assembled in Saudi Arabia
5195,Georgia,     Turkmenistan,1,Su-25,Ground attack ac,2003,2004,1,Payment for debt; Su-25KM version
5198,Germany, Malaysia,1,Sri Indera Sakti,Support ship,1981,1983,1,From South Korean production line
5200,Germany,     Philippines,8,MTU-1163,Diesel engine,2017,,,For 2 HHI-2600 (Rizal) frigates from South Korea; from South Korean production line; designation uncertain (reported as 'STX Engine diesel' or 'STX MTU diesel'
5201,Germany,     Tunisia,10,Dingo-2,APC,2017,2017,10,Second-hand; aid; Dingo-1 version
5202,Germany,     Turkey,5,MAN-3240,Diesel engine,2015,,,For 1 BPE (Anadolu) AALS from Spain; probably from Spanish production liune
5203,Germany,     Argentina,137,TAM,Tank,1974,1976-1986,137,Developed for Argentina; incl 134 produced in Argentina; originally more ordered and components delivered but cancelled (re-ordered in 1990s)
5207,Germany,     Australia,8,MEKO-200ANZ,Frigate,1989,1996-2006,8,$2.7 b deal; Australian designation Anzac
5211,Germany,     Belgium,346,Leopard-1A1,Tank,1967,1968-1971,346,"Incl production of components in Belgium (incl fire control for some), incl 12 driver training version"
5214,Germany,     Brazil,1000,COBRA,Anti-tank missile,1973,1976-1981,1000,Cobra-2000 version
5218,Germany,     Canada,18,Wisent-2,AEV/ARV,2011,2017-2018,18,Canadian Leopard-2A4 tanks rebuilt to Wisent-2 ARV
5220,Germany,     Chile,2,OPV-80,OPV,2005,2008-2009,2,$50 m deal; part of 'Danubio-4' programme; produced in Chile; Chilean designation Piloto Pardo and PZM
5223,Germany,     China,1200,Type-6150L,Diesel engine,1965,1966-1981,1200,For YW-531/Type-63 APC and WZ-302/Type-70 self-propelled gun produced in China
5230,Germany,     Colombia,1,OPV-80,OPV,2008,2012,1,Colombian designation 20 de Julio
5233,Germany,     Denmark,10,Willemoes,FAC,1972,1976-1978,10,Designed for production in Denmark
5234,Germany,     Egypt,1280,Fahd,APC,1978,1986-2015,1280,Developed for assembly/production in Egypt; incl Fahd-240/30 IFV version
5237,Germany,     Greece,4,MEKO-200,Frigate,1988,1992-1998,4,$1.2 b deal (offsets $250 m; partly financed by FRG 'Rstungssonderhilfe' aid programme and USA); MEKO-200 Mod-3HN version; 3 assembled/produced in Greece; Greek designation Hydra
5243,Germany,     India,22250,MILAN,Anti-tank missile,1979,1984-2019,22250,MILAN-2 and MILAN-2T version; ordered from French-FRG company; most produced in India; incl for BMP-2 IFV
5255,Germany,     Indonesia,57,Bo-105,Light helicopter,1976,1977-2011,57,Indonesian designation NBO-105CB/CBS; incl for police
5259,Germany,     Israel,4,MEKO PC-IN,Frigate,2015,,,EUR430 m deal (incl EUR115 m paid by Germany; NIS700 m offsets; incl production of components and final fitting out in Israel); Israeli designation Saar-6 or Magen; delivery planned 2020-2022
5260,Germany,     Italy,8,MTU-820,Diesel engine,1965,1968-1969,8,For 4 Toti submarines produced in Italy
5271,Germany,     Japan,10,MAN V8,Diesel engine,1963,1965-1969,10,For 5 Oshio submarines produced in Japan
5274,Germany,     Latvia,5,SWATH-125t,Patrol craft,2008,2011-2014,5,Latvian designation Skrunda
5275,Germany,     Malaysia,6,FPB-45,Patrol craft,1973,1976-1977,6,Malaysian designation Jerong
5277,Germany,     Netherlands,480,Leopard-1A1,Tank,1968,1969-1972,480,Incl production of components in Netherlands; incl 12 driver training version
5282,Germany,     Norway,6,Type-210,Submarine,1982,1989-1992,6,$453 m deal (offsets incl production of components in Norway); Norwegian designation Ula
5285,Germany,     Pakistan,4000,COBRA,Anti-tank missile,1963,1964-1979,4000,Most probably assembled/produced in Pakistan; Cobra-1600 and Cobra-2000 version
5286,Germany,     Philippines,19,Bo-105,Light helicopter,1974,1974-1981,19,Incl production of components and assembly in Philippines
5288,Germany,     Poland,3,Orkan,FAC,1988,1992-1995,3,Orginally 6 ordered from GDR but not delivered before German unification; delivered incomplete from FRG and finished in Poland; plan for more cancelled
5290,Germany,     Singapore,6,TNC-45,FAC,1970,1972-1976,6,Incl 4 produced in Singapore; Singaporean designation Sea Wolf
5294,Germany,     South Africa,2,MCMV-50m,MCM ship,1978,1981,2,"Supplied while UN embargo in force, SA designation Uminkuln Class, transfer hidden by being described as oil rig supply vessels, ordered as research vessels to be operated by SA Navy for Department of Transport, formally accepted as naval ships February 1"
5297,Germany,     South Korea,1740,MTU-871,Diesel engine,1981,1984-2009,1740,For 1484 K-1 tanks and 256 K-1 chassis from USA
5305,Germany,     Spain,6,S-38/S-Boot,FAC,1952,1953-1957,6,Spanish designation LT-27
5321,Germany,     Sweden,6,Spica-1,FAC,1964,1966-1967,6,Designed for production in Sweden
5325,Germany,     Switzerland,380,Leopard-2,Tank,1984,1987-1993,380,$1.4 b deal; 335 assembled/produced in Switzerland (60-70% of value produced in Swizterland); Swiss designation Pz-87 Leo
5329,Germany,     Thailand,1,Thalang,Support ship,1978,1980,1,Designed for production in Thailand
5330,Germany,     Turkey,6000,COBRA,Anti-tank missile,1963,1964-1973,6000,Probably most assembled/produced in Turkey; Cobra-1600 and probably Cobra-2000 version
5350,Germany,     United Kingdom,18000,MILAN,Anti-tank missile,1976,1977-1989,18000,Incl MILAN-2 version; ordered from French-FRG Euromissile company; most produced in UK (offsets incl production for export via Euromissile until 1991)
5353,Germany,     United States,595,Roland,SAM,1975,1977-1981,595,Part of $50-108 m deal; US designation MIM-115A
5358,Germany,     Albania,6,Bo-105,Light helicopter,2006,2007,6,"Second-hand; aid, modernized to Bo-105E4 before delivery"
5360,Germany,     Algeria,9,MTU-538,Diesel engine,1983,1988-2002,9,For 3 Djebel Chenoua FAC produced in Algeria
5366,Germany,     Argentina,40,SST Seal,AS torpedo,1968,1974,40,For 2 Type-209 (Salta) submarines and 2 TNC-45 (Intrepida) FAC
5379,Germany,     Australia,6,BPz-2,ARV,1975,1977,6,Australian designation Leopard AS-1 ARV Medium
5389,Germany,     Austria,3,Jaguar-1,Tank destroyer,1995,1995,3,Second-hand
5402,Germany,     Bahrain,2,Bo-105,Light helicopter,1977,1977,2,
5409,Germany,     Bangladesh,1,ASO-90,ASW sonar,1998,2001,1,For 1 DW-2000H (Bangabandhu) frigate from South Korea
5412,Germany,     Belgium,12,Do-27,Light aircraft,1959,1960-1962,12,Do-27J-1 (Do-27A-4) version
5420,Germany,     Benin,2,Do-128,Light transport ac,1985,1985,2,
5421,Germany,     Bolivia,2,EC145,Light helicopter,2011,2012,2,"Incl for VIP transport, SAR and anti-narcotics operations"
5423,Germany,     Brazil,1,GRD-68,Diesel engine,1967,1969,1,For 1 Marajo support ship produced in Brazil
5452,Germany,     Brunei,6,MTU-538,Diesel engine,1976,1978-1979,6,For 3 Waspada FAC from Singapore
5458,Germany,     Burundi,1,Do-27,Light aircraft,1966,1966,1,Supplier uncertain; second-hand
5459,Germany,     Cabo Verde,1,Do-228MP,MP aircraft,1992,1992,1,Aid
5461,Germany,     Cameroon,1,Do-28B,Light aircraft,1966,1968,1,For VIP transport
5463,Germany,     Canada,8,BPz-2,ARV,1976,1978,8,Part of $115 m deal; Canadian designation Taurus
5474,Germany,     Chile,12,Bo-105,Light helicopter,1975,1976-1980,12,For police
5493,Germany,     China,3,8RL-B66,Diesel engine,1975,1979-1980,3,For 3 Fuqing support ships produced in China
5496,Germany,     Colombia,60,SUT,AS/ASW torpedo,1971,1975,60,For Type-209 (Pijao) submarines
5508,Germany,     Costa Rica,1,Beech-18/C-45,Light transport ac,1955,1956,1,Second-hand; aid
5510,Germany,     Croatia,25,BT-6L,Diesel engine,1992,1993-1997,25,For LOV APC produced in Croatia
5513,Germany,     Czechia,4,Dingo-2,APC,2007,2008,4,CZK135 m ($7.5 m) deal; for use in Afghanistan
5516,Germany,     Denmark,12,MTU-538,Diesel engine,1960,1962-1963,12,For 5 Falken FAC produced in Denmark; designation uncertain (reported as '3000hp MTU diesel')
5535,Germany,     DR Congo,2,Do-27,Light aircraft,1961,1963,2,
5540,Germany,     Ecuador,3,TNC-36,FAC,1969,1971,3,Ecuadorian designation Manta
5549,Germany,     Egypt,24,MTU-538,Diesel engine,1978,1981-1982,24,For 6 Ramadan FAC from UK; MTU-20V-538 version
5565,Germany,     El Salvador,10,UR-416,APC,1970,1971-1975,10,Incl 2 for Police
5567,Germany,     Eritrea,5,Do-28D Skyservant,Light transport ac,1993,1994,5,Second-hand; aid
5568,Germany,     Estonia,2,Kondor,Minesweeper,1993,1994,2,Former GDR equipment; armament removed before delivery; Estonian designation Vambola; for use as patrol craft
5575,Germany,     Ethiopia,9,M130,Petrol engine,1961,1961,9,For 9 Pansarbil Unimog APV from Sweden
5580,Germany,     Finland,12,MTU-538,Diesel engine,1978,1981-1986,12,For 4 Helsinki FAC produced in Finland
5597,Germany,     France,1,DC-4/C-54,Transport aircraft,1961,1962,1,Second-hand
5605,Germany,     Gabon,2,EC135,Light helicopter,2010,2011,2,
5607,Germany,     Georgia,1,Lindau/Type-320,Minesweeper,1998,1998,1,Second-hand; Georgian designation Ayety; for coast guard; for use as patrol craft
5608,Germany,     Ghana,2,Dela,Patrol craft,1973,1975,2,
5612,Germany,     Greece,1,Cohoes,Netlayer,1958,1960,1,Financed by US 'MDAP Offshore Procurement Programme' aid; Greek designation Thetis
